feature,type
load_scale,numeric
phase_a_factor,numeric
phase_b_factor,numeric
phase_c_factor,numeric
pv_scale,numeric
bess_p_discharge_mw,numeric
contingency_type,categorical
element_table,categorical
element_index,categorical
base_load_scale,numeric
base_phase_a_factor,numeric
base_phase_b_factor,numeric
base_phase_c_factor,numeric
base_pv_scale,numeric
base_bess_p_discharge_mw,numeric
base_min_vm_pu,numeric
base_max_vm_pu,numeric
base_max_vuf_percent,numeric
base_max_line_loading_percent,numeric
base_p_grid_mw,numeric
base_q_grid_mvar,numeric
base_p_load_mw,numeric
base_q_load_mvar,numeric
base_p_sgen_mw,numeric
base_p_line_loss_mw,numeric
base_p_load_a_mw,numeric
base_p_load_b_mw,numeric
base_p_load_c_mw,numeric
base_p_sgen_a_mw,numeric
base_p_sgen_b_mw,numeric
base_p_sgen_c_mw,numeric
base_mode,categorical
