threshold,TP,FP,TN,FN,recall,precision,FNR,pf_calls_saved_fraction,missed_violations,model
0.9943660497665405,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,FlattenedMLP
0.21134963631629944,11,1,6,0,1.0,0.9166666666666666,0.0,0.3333333333333333,0,FlattenedMLP
0.09903862327337265,11,2,5,0,1.0,0.8461538461538461,0.0,0.2777777777777778,0,FlattenedMLP
0.00342343607917428,11,3,4,0,1.0,0.7857142857142857,0.0,0.2222222222222222,0,FlattenedMLP
0.0018209075788035989,11,4,3,0,1.0,0.7333333333333333,0.0,0.16666666666666666,0,FlattenedMLP
0.00035050438600592315,11,5,2,0,1.0,0.6875,0.0,0.1111111111111111,0,FlattenedMLP
0.00022728508338332176,11,6,1,0,1.0,0.6470588235294118,0.0,0.05555555555555555,0,FlattenedMLP
0.0,11,7,0,0,1.0,0.6111111111111112,0.0,0.0,0,FlattenedMLP
0.0001437933387933299,11,7,0,0,1.0,0.6111111111111112,0.0,0.0,0,FlattenedMLP
0.9998212456703186,10,0,7,1,0.9090909090909091,1.0,0.09090909090909091,0.4444444444444444,1,FlattenedMLP
0.9999306201934814,9,0,7,2,0.8181818181818182,1.0,0.18181818181818182,0.5,2,FlattenedMLP
0.9999797344207764,8,0,7,3,0.7272727272727273,1.0,0.2727272727272727,0.5555555555555556,3,FlattenedMLP
0.9999818801879883,7,0,7,4,0.6363636363636364,1.0,0.36363636363636365,0.6111111111111112,4,FlattenedMLP
0.9999854564666748,6,0,7,5,0.5454545454545454,1.0,0.45454545454545453,0.6666666666666666,5,FlattenedMLP
0.9999916553497314,5,0,7,6,0.45454545454545453,1.0,0.5454545454545454,0.7222222222222222,6,FlattenedMLP
0.9999995231628418,3,0,7,8,0.2727272727272727,1.0,0.7272727272727273,0.8333333333333334,8,FlattenedMLP
0.9999998807907104,2,0,7,9,0.18181818181818182,1.0,0.8181818181818182,0.8888888888888888,9,FlattenedMLP
1.0,0,0,7,11,0.0,,1.0,1.0,11,FlattenedMLP
0.9261890053749084,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,PhaseAwareGNN
0.03448785841464996,11,1,6,0,1.0,0.9166666666666666,0.0,0.3333333333333333,0,PhaseAwareGNN
0.005595725029706955,11,2,5,0,1.0,0.8461538461538461,0.0,0.2777777777777778,0,PhaseAwareGNN
0.0014555910602211952,11,3,4,0,1.0,0.7857142857142857,0.0,0.2222222222222222,0,PhaseAwareGNN
0.0005359220085665584,11,4,3,0,1.0,0.7333333333333333,0.0,0.16666666666666666,0,PhaseAwareGNN
0.0004548616998363286,11,5,2,0,1.0,0.6875,0.0,0.1111111111111111,0,PhaseAwareGNN
0.00042912253411486745,11,6,1,0,1.0,0.6470588235294118,0.0,0.05555555555555555,0,PhaseAwareGNN
0.0,11,7,0,0,1.0,0.6111111111111112,0.0,0.0,0,PhaseAwareGNN
0.00040355196688324213,11,7,0,0,1.0,0.6111111111111112,0.0,0.0,0,PhaseAwareGNN
0.982756495475769,10,0,7,1,0.9090909090909091,1.0,0.09090909090909091,0.4444444444444444,1,PhaseAwareGNN
0.9998007416725159,9,0,7,2,0.8181818181818182,1.0,0.18181818181818182,0.5,2,PhaseAwareGNN
0.9998559951782227,8,0,7,3,0.7272727272727273,1.0,0.2727272727272727,0.5555555555555556,3,PhaseAwareGNN
0.9998805522918701,7,0,7,4,0.6363636363636364,1.0,0.36363636363636365,0.6111111111111112,4,PhaseAwareGNN
0.9998922348022461,6,0,7,5,0.5454545454545454,1.0,0.45454545454545453,0.6666666666666666,5,PhaseAwareGNN
0.9999098777770996,5,0,7,6,0.45454545454545453,1.0,0.5454545454545454,0.7222222222222222,6,PhaseAwareGNN
0.9999532699584961,4,0,7,7,0.36363636363636365,1.0,0.6363636363636364,0.7777777777777778,7,PhaseAwareGNN
0.9999686479568481,3,0,7,8,0.2727272727272727,1.0,0.7272727272727273,0.8333333333333334,8,PhaseAwareGNN
0.9999725818634033,2,0,7,9,0.18181818181818182,1.0,0.8181818181818182,0.8888888888888888,9,PhaseAwareGNN
0.9999755620956421,1,0,7,10,0.09090909090909091,1.0,0.9090909090909091,0.9444444444444444,10,PhaseAwareGNN
1.0,0,0,7,11,0.0,,1.0,1.0,11,PhaseAwareGNN
